epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,4988.8,1.27793,0.89629,1.28213,0.89219,0.81553,0.88135,0.55917,1.24247,0.76238,1.26395,0.007294,0.007294,0.007294
84,5043.18,1.27781,0.90789,1.27574,0.88543,0.82213,0.89108,0.56731,1.22294,0.75002,1.24163,0.007261,0.007261,0.007261
85,5097.7,1.28023,0.90195,1.28838,0.89869,0.81757,0.89256,0.56695,1.22827,0.75509,1.24124,0.007228,0.007228,0.007228
86,5152.28,1.27353,0.90212,1.28038,0.8895,0.82373,0.88838,0.57206,1.22066,0.76246,1.24298,0.007195,0.007195,0.007195
87,5206.92,1.27018,0.88672,1.27738,0.90745,0.81229,0.88891,0.56547,1.22203,0.7565,1.24259,0.007162,0.007162,0.007162
88,5260.04,1.2682,0.88111,1.27568,0.89896,0.81797,0.89311,0.5687,1.2124,0.74228,1.23581,0.007129,0.007129,0.007129
89,5312.56,1.24714,0.86975,1.26539,0.9074,0.81446,0.8937,0.5742,1.21088,0.74038,1.22866,0.007096,0.007096,0.007096
90,5365.09,1.25086,0.87354,1.26203,0.91015,0.81858,0.89433,0.5666,1.23164,0.74071,1.25292,0.007063,0.007063,0.007063
91,5417.64,1.24154,0.85002,1.25428,0.89035,0.82874,0.89369,0.56741,1.22003,0.73345,1.24096,0.00703,0.00703,0.00703
92,5470.14,1.25115,0.87573,1.26974,0.90879,0.82688,0.90016,0.57669,1.20425,0.7313,1.23237,0.006997,0.006997,0.006997
93,5524.49,1.24705,0.8519,1.25742,0.8892,0.83481,0.89287,0.57421,1.21948,0.7372,1.23519,0.006964,0.006964,0.006964
94,5578.84,1.24782,0.86057,1.26267,0.89518,0.83749,0.90153,0.5756,1.20978,0.72222,1.23576,0.006931,0.006931,0.006931
95,5633.12,1.23731,0.85634,1.2464,0.90104,0.83508,0.90052,0.5778,1.20152,0.72672,1.2286,0.006898,0.006898,0.006898
96,5687.74,1.23115,0.85185,1.24987,0.90185,0.83605,0.90155,0.57983,1.20013,0.7274,1.22564,0.006865,0.006865,0.006865
97,5742.13,1.22043,0.84803,1.25069,0.90556,0.82704,0.89795,0.58694,1.18357,0.72068,1.21554,0.006832,0.006832,0.006832
98,5796.64,1.22252,0.84548,1.24902,0.89939,0.83126,0.9004,0.57747,1.20914,0.71923,1.23206,0.006799,0.006799,0.006799
99,5850.87,1.21815,0.83283,1.24608,0.9005,0.841,0.89973,0.58248,1.19145,0.71687,1.22126,0.006766,0.006766,0.006766
100,5905.39,1.23259,0.84747,1.25257,0.91693,0.82617,0.90741,0.59154,1.18566,0.70701,1.21767,0.006733,0.006733,0.006733
101,5959.79,1.23041,0.83765,1.24601,0.91071,0.83497,0.90536,0.59036,1.18544,0.71527,1.22278,0.0067,0.0067,0.0067
102,6014.17,1.21243,0.82396,1.2388,0.90582,0.83972,0.90595,0.58862,1.17923,0.70615,1.21702,0.006667,0.006667,0.006667
103,6068.48,1.21819,0.83412,1.24101,0.92503,0.82346,0.90621,0.59318,1.18043,0.68671,1.21828,0.006634,0.006634,0.006634
104,6122.64,1.21921,0.83836,1.2428,0.89922,0.8355,0.9047,0.59133,1.16467,0.69975,1.20303,0.006601,0.006601,0.006601
105,6176.79,1.21823,0.82461,1.24114,0.90942,0.85397,0.91047,0.59505,1.17906,0.70045,1.21248,0.006568,0.006568,0.006568
106,6231.23,1.20124,0.81937,1.22972,0.91267,0.83937,0.90953,0.59363,1.17663,0.69423,1.20952,0.006535,0.006535,0.006535
107,6285.5,1.19998,0.80782,1.226,0.9022,0.85752,0.91547,0.59896,1.18014,0.68703,1.21225,0.006502,0.006502,0.006502
108,6340.11,1.20886,0.81324,1.22533,0.91639,0.844,0.91026,0.59852,1.16395,0.68608,1.20289,0.006469,0.006469,0.006469
109,6394.39,1.20573,0.8144,1.22838,0.89404,0.85708,0.90892,0.59552,1.16142,0.68059,1.20374,0.006436,0.006436,0.006436
110,6448.86,1.20622,0.80601,1.22092,0.89127,0.86047,0.90592,0.59333,1.17227,0.68145,1.2071,0.006403,0.006403,0.006403
111,6502.2,1.19693,0.79669,1.2171,0.9208,0.84641,0.91203,0.60075,1.16513,0.6741,1.19856,0.00637,0.00637,0.00637
112,6554.85,1.18876,0.7985,1.21695,0.90136,0.86371,0.91292,0.59609,1.17328,0.67594,1.20326,0.006337,0.006337,0.006337
113,6607.27,1.19416,0.79343,1.21851,0.92736,0.84337,0.91686,0.59744,1.1756,0.6689,1.21089,0.006304,0.006304,0.006304
114,6659.93,1.19164,0.80817,1.22457,0.90747,0.86631,0.91433,0.60282,1.1615,0.66451,1.20062,0.006271,0.006271,0.006271
115,6712.52,1.18251,0.79418,1.2149,0.89198,0.86097,0.91535,0.60115,1.15947,0.65662,1.20033,0.006238,0.006238,0.006238
116,6765.95,1.18592,0.77936,1.2207,0.89081,0.86031,0.9111,0.59964,1.17167,0.66419,1.20781,0.006205,0.006205,0.006205
117,6820.05,1.18246,0.78613,1.22577,0.89377,0.87284,0.9164,0.60682,1.16818,0.65427,1.20148,0.006172,0.006172,0.006172
118,6874.47,1.17728,0.7778,1.2093,0.91203,0.84753,0.9186,0.61213,1.14647,0.65684,1.19102,0.006139,0.006139,0.006139
119,6928.89,1.17357,0.78093,1.20329,0.92778,0.83668,0.91947,0.6087,1.1598,0.66051,1.20146,0.006106,0.006106,0.006106
120,6981.88,1.17113,0.77615,1.20359,0.91487,0.85276,0.91807,0.60833,1.15452,0.65834,1.19364,0.006073,0.006073,0.006073
121,7034.11,1.16655,0.77535,1.19984,0.90809,0.86538,0.91638,0.60694,1.1475,0.65769,1.18407,0.00604,0.00604,0.00604
122,7086.51,1.16334,0.76552,1.19864,0.90306,0.87192,0.92209,0.61194,1.13941,0.65014,1.1826,0.006007,0.006007,0.006007
123,7139.04,1.16619,0.77407,1.20967,0.90624,0.87153,0.92147,0.60682,1.15444,0.65014,1.19188,0.005974,0.005974,0.005974
124,7191.57,1.16935,0.78136,1.2062,0.9046,0.86614,0.91527,0.60034,1.16312,0.65658,1.20087,0.005941,0.005941,0.005941
125,7245.81,1.16007,0.76987,1.19757,0.91196,0.86053,0.91903,0.61285,1.14558,0.66125,1.18651,0.005908,0.005908,0.005908
126,7299.21,1.16192,0.77483,1.20377,0.92681,0.85083,0.92164,0.61214,1.14805,0.65332,1.19353,0.005875,0.005875,0.005875
127,7353.8,1.16071,0.75629,1.19874,0.92068,0.85508,0.92001,0.61638,1.13596,0.64573,1.1791,0.005842,0.005842,0.005842
128,7408.33,1.14299,0.74067,1.18174,0.90455,0.8706,0.92253,0.61226,1.1364,0.65162,1.17817,0.005809,0.005809,0.005809
129,7462.91,1.14976,0.75013,1.19159,0.90743,0.86384,0.92012,0.61694,1.12962,0.64396,1.17483,0.005776,0.005776,0.005776
130,7517.33,1.15832,0.74928,1.18546,0.91099,0.86604,0.922,0.61719,1.13197,0.64109,1.17407,0.005743,0.005743,0.005743
131,7571.91,1.15032,0.74897,1.18,0.90428,0.87211,0.92169,0.61245,1.13696,0.63634,1.17885,0.00571,0.00571,0.00571
132,7626.52,1.15751,0.7581,1.19081,0.89175,0.87984,0.92406,0.62094,1.13175,0.63261,1.1721,0.005677,0.005677,0.005677
133,7681.04,1.14075,0.74776,1.17984,0.90173,0.88553,0.92518,0.61489,1.13608,0.62727,1.17656,0.005644,0.005644,0.005644
134,7735.54,1.13676,0.73769,1.17662,0.89302,0.89179,0.92607,0.61959,1.13576,0.62581,1.17974,0.005611,0.005611,0.005611
135,7789.86,1.1368,0.74031,1.18114,0.88521,0.89123,0.92465,0.61996,1.13736,0.63076,1.17797,0.005578,0.005578,0.005578
136,7844.23,1.13286,0.73749,1.184,0.90584,0.88462,0.92757,0.62009,1.14016,0.63032,1.1818,0.005545,0.005545,0.005545
137,7898.76,1.13292,0.7396,1.17487,0.90962,0.87869,0.92665,0.6189,1.14546,0.62945,1.18709,0.005512,0.005512,0.005512
138,7953.18,1.12506,0.728,1.17733,0.92895,0.87035,0.92832,0.62372,1.12917,0.62471,1.17383,0.005479,0.005479,0.005479
139,8007.48,1.12617,0.73187,1.17751,0.92348,0.87292,0.92764,0.62055,1.12743,0.62474,1.1724,0.005446,0.005446,0.005446
140,8061.87,1.12154,0.72468,1.16581,0.92591,0.86686,0.93012,0.62553,1.1303,0.62482,1.17404,0.005413,0.005413,0.005413
141,8116.23,1.12536,0.71025,1.17318,0.92842,0.86183,0.92541,0.62417,1.12403,0.62124,1.17178,0.00538,0.00538,0.00538
142,8170.72,1.12157,0.72241,1.174,0.90873,0.88242,0.92482,0.62225,1.12208,0.62176,1.17064,0.005347,0.005347,0.005347
143,8225.37,1.12064,0.72159,1.16928,0.91826,0.86176,0.92199,0.61648,1.13035,0.62263,1.18163,0.005314,0.005314,0.005314
144,8279.83,1.12088,0.71556,1.1721,0.91354,0.87094,0.9267,0.62214,1.12335,0.62018,1.17721,0.005281,0.005281,0.005281
145,8334.33,1.11677,0.71813,1.16498,0.90474,0.8831,0.9285,0.61887,1.12647,0.62374,1.17236,0.005248,0.005248,0.005248
146,8388.65,1.11136,0.7079,1.16587,0.93202,0.86092,0.92712,0.62155,1.1312,0.61798,1.17514,0.005215,0.005215,0.005215
147,8442.94,1.10751,0.70892,1.16444,0.91834,0.88107,0.9301,0.62127,1.12284,0.61279,1.16861,0.005182,0.005182,0.005182
148,8497.49,1.09548,0.70242,1.15059,0.92433,0.87997,0.92937,0.62301,1.11646,0.61771,1.17065,0.005149,0.005149,0.005149
149,8551.91,1.10676,0.70442,1.15893,0.92141,0.87942,0.92878,0.62338,1.11945,0.61496,1.16807,0.005116,0.005116,0.005116
150,8606.39,1.11149,0.69915,1.16074,0.91949,0.88481,0.92951,0.62409,1.12718,0.61151,1.17703,0.005083,0.005083,0.005083
151,8660.82,1.11057,0.70903,1.16164,0.92771,0.86617,0.93133,0.62364,1.12715,0.60532,1.17688,0.00505,0.00505,0.00505
152,8715.48,1.10813,0.70003,1.15477,0.91116,0.88277,0.9298,0.6245,1.12913,0.60097,1.17693,0.005017,0.005017,0.005017
153,8771.15,1.09589,0.69006,1.15188,0.92811,0.87674,0.93044,0.62686,1.12265,0.6004,1.17131,0.004984,0.004984,0.004984
