epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,3298.5,1.23855,0.85603,1.29964,0.88594,0.8576,0.90225,0.57071,1.25754,0.72756,1.34334,0.007063,0.007063,0.007063
91,3336.37,1.22255,0.83508,1.28866,0.90494,0.86623,0.90923,0.57568,1.2426,0.71442,1.33219,0.00703,0.00703,0.00703
92,3373.63,1.23335,0.86683,1.31006,0.91476,0.84805,0.90726,0.57573,1.24649,0.71864,1.34583,0.006997,0.006997,0.006997
93,3411.5,1.2273,0.83885,1.29368,0.90659,0.85099,0.90924,0.57487,1.25653,0.73105,1.35055,0.006964,0.006964,0.006964
94,3449.93,1.22436,0.8389,1.29493,0.91448,0.84568,0.90928,0.57742,1.24247,0.72147,1.33272,0.006931,0.006931,0.006931
95,3488.82,1.21707,0.82607,1.28134,0.90819,0.84243,0.91263,0.58191,1.22895,0.71752,1.32528,0.006898,0.006898,0.006898
96,3527.23,1.21373,0.83524,1.28551,0.90082,0.85107,0.90744,0.57355,1.24167,0.71923,1.34648,0.006865,0.006865,0.006865
97,3566.13,1.21693,0.83685,1.28894,0.91512,0.85657,0.90901,0.58028,1.23742,0.71343,1.32986,0.006832,0.006832,0.006832
98,3604.79,1.21906,0.8309,1.28782,0.91994,0.8429,0.91506,0.58245,1.21604,0.70625,1.315,0.006799,0.006799,0.006799
99,3641.62,1.20483,0.81764,1.28254,0.88856,0.87261,0.91836,0.58876,1.21074,0.70097,1.31443,0.006766,0.006766,0.006766
100,3677.42,1.22164,0.83092,1.29185,0.90649,0.84718,0.91022,0.58044,1.21375,0.70249,1.3166,0.006733,0.006733,0.006733
101,3712.84,1.21852,0.83314,1.28332,0.90365,0.87136,0.92013,0.59148,1.21798,0.69189,1.31425,0.0067,0.0067,0.0067
102,3748.03,1.19598,0.80922,1.27298,0.89573,0.87405,0.91729,0.58808,1.21094,0.68649,1.30622,0.006667,0.006667,0.006667
103,3786.45,1.19674,0.80815,1.27521,0.92502,0.85991,0.91773,0.5865,1.21716,0.685,1.30846,0.006634,0.006634,0.006634
104,3825.89,1.20862,0.81508,1.27901,0.91757,0.87256,0.91935,0.58873,1.21093,0.69114,1.30159,0.006601,0.006601,0.006601
105,3864.57,1.20185,0.8024,1.26893,0.91072,0.88373,0.92667,0.59543,1.20708,0.66549,1.30778,0.006568,0.006568,0.006568
106,3903.44,1.20147,0.8149,1.27134,0.90855,0.84591,0.91207,0.58274,1.22275,0.685,1.31776,0.006535,0.006535,0.006535
107,3942.71,1.18885,0.80285,1.26567,0.92935,0.85744,0.92165,0.59019,1.21501,0.68775,1.30813,0.006502,0.006502,0.006502
108,3981.99,1.19141,0.80973,1.25864,0.91609,0.87433,0.92336,0.59571,1.20388,0.66916,1.29395,0.006469,0.006469,0.006469
109,4020.84,1.19335,0.79849,1.26238,0.90796,0.86951,0.91992,0.59667,1.19974,0.67259,1.29875,0.006436,0.006436,0.006436
110,4058.95,1.19373,0.80217,1.25699,0.9091,0.88073,0.92158,0.59346,1.20774,0.68298,1.31025,0.006403,0.006403,0.006403
111,4097.21,1.18524,0.79261,1.2617,0.91165,0.87645,0.9205,0.5966,1.19677,0.67691,1.29935,0.00637,0.00637,0.00637
112,4135.43,1.18277,0.79403,1.25829,0.89952,0.87827,0.91952,0.59117,1.20967,0.67907,1.3037,0.006337,0.006337,0.006337
113,4173.71,1.17753,0.77944,1.25978,0.92128,0.88021,0.92592,0.59209,1.20941,0.66405,1.30869,0.006304,0.006304,0.006304
114,4212.03,1.18166,0.7916,1.2589,0.91658,0.87085,0.9227,0.59335,1.21592,0.66811,1.31828,0.006271,0.006271,0.006271
115,4250.45,1.18387,0.78053,1.25893,0.91693,0.85984,0.91703,0.58997,1.20995,0.6803,1.31292,0.006238,0.006238,0.006238
116,4288.8,1.17187,0.7728,1.25462,0.90525,0.87072,0.92199,0.5961,1.20097,0.66446,1.30905,0.006205,0.006205,0.006205
117,4326.95,1.1637,0.77908,1.2566,0.90308,0.88789,0.92683,0.59972,1.1938,0.66458,1.29319,0.006172,0.006172,0.006172
118,4366.01,1.16364,0.76957,1.23766,0.91396,0.87154,0.925,0.59887,1.19346,0.66682,1.29824,0.006139,0.006139,0.006139
119,4409.03,1.15836,0.76833,1.23569,0.91059,0.87849,0.92357,0.5992,1.20022,0.66625,1.29719,0.006106,0.006106,0.006106
120,4450.7,1.16319,0.76713,1.23965,0.92455,0.8602,0.91857,0.59512,1.20256,0.66196,1.30821,0.006073,0.006073,0.006073
121,4493.68,1.15845,0.76457,1.23943,0.9201,0.86486,0.91911,0.59586,1.19139,0.66426,1.28932,0.00604,0.00604,0.00604
122,4532.94,1.1502,0.75539,1.23604,0.92,0.87245,0.92266,0.59755,1.19922,0.65772,1.29404,0.006007,0.006007,0.006007
123,4574.43,1.15359,0.76748,1.24176,0.91083,0.86529,0.91701,0.59459,1.19319,0.65928,1.28894,0.005974,0.005974,0.005974
124,4616.9,1.15635,0.75789,1.23655,0.9005,0.87905,0.9184,0.5942,1.1975,0.66267,1.29171,0.005941,0.005941,0.005941
125,4656.68,1.14979,0.75357,1.23851,0.91627,0.8739,0.92372,0.59997,1.18896,0.6612,1.28586,0.005908,0.005908,0.005908
126,4695.13,1.14988,0.75279,1.23898,0.91844,0.87992,0.92278,0.60272,1.17745,0.66045,1.28785,0.005875,0.005875,0.005875
127,4734.1,1.13716,0.74812,1.22891,0.91332,0.87296,0.92313,0.59899,1.18894,0.66223,1.29739,0.005842,0.005842,0.005842
128,4775.22,1.14112,0.7271,1.22579,0.91768,0.87361,0.92133,0.59779,1.18346,0.66015,1.2916,0.005809,0.005809,0.005809
129,4816.19,1.14633,0.7462,1.23239,0.92255,0.87408,0.92668,0.60469,1.17446,0.65446,1.2768,0.005776,0.005776,0.005776
130,4856.34,1.14887,0.74238,1.23639,0.91865,0.87007,0.92584,0.60146,1.18167,0.64629,1.28934,0.005743,0.005743,0.005743
131,4893.43,1.1478,0.74618,1.2212,0.90468,0.88611,0.92468,0.60251,1.18127,0.64929,1.28976,0.00571,0.00571,0.00571
132,4929.21,1.15127,0.75113,1.23276,0.91231,0.88454,0.92848,0.6052,1.17925,0.64889,1.2888,0.005677,0.005677,0.005677
133,4965.06,1.13069,0.73475,1.22052,0.92444,0.88241,0.93087,0.60497,1.18252,0.6399,1.2941,0.005644,0.005644,0.005644
134,5003.55,1.12275,0.7387,1.21521,0.91609,0.88221,0.93097,0.60539,1.18229,0.64318,1.28796,0.005611,0.005611,0.005611
135,5045.18,1.12832,0.73867,1.22176,0.92407,0.87472,0.93125,0.60324,1.18909,0.64096,1.291,0.005578,0.005578,0.005578
136,5087.65,1.12877,0.72986,1.22499,0.92177,0.88532,0.93101,0.6031,1.17515,0.64018,1.28367,0.005545,0.005545,0.005545
137,5129.67,1.12995,0.73493,1.21745,0.92997,0.88,0.93344,0.60646,1.17704,0.63592,1.28312,0.005512,0.005512,0.005512
138,5171.3,1.11681,0.72285,1.22289,0.92053,0.88576,0.92959,0.60629,1.17831,0.63692,1.28509,0.005479,0.005479,0.005479
139,5206.76,1.12311,0.71713,1.22339,0.91348,0.89895,0.92943,0.60716,1.17361,0.63265,1.28577,0.005446,0.005446,0.005446
140,5241.84,1.11874,0.71765,1.20631,0.9101,0.88663,0.92798,0.60585,1.18037,0.63644,1.2871,0.005413,0.005413,0.005413
141,5276.87,1.12298,0.70931,1.2172,0.92346,0.873,0.92722,0.60892,1.18075,0.62265,1.28921,0.00538,0.00538,0.00538
142,5312.07,1.10987,0.71967,1.21146,0.92351,0.88773,0.93212,0.60994,1.17928,0.62108,1.28768,0.005347,0.005347,0.005347
143,5346.93,1.11461,0.71098,1.20306,0.92702,0.87727,0.92963,0.60803,1.17744,0.62046,1.28453,0.005314,0.005314,0.005314
144,5381.96,1.11221,0.71312,1.21037,0.92392,0.88278,0.92895,0.60622,1.18082,0.62502,1.29177,0.005281,0.005281,0.005281
145,5417.15,1.10804,0.71395,1.20578,0.93238,0.87379,0.92836,0.60538,1.17487,0.6302,1.28029,0.005248,0.005248,0.005248
146,5454.76,1.10547,0.70965,1.20822,0.93878,0.8842,0.93423,0.60616,1.16741,0.62529,1.27941,0.005215,0.005215,0.005215
147,5489.67,1.10539,0.70183,1.20157,0.92465,0.88036,0.92711,0.60528,1.17524,0.62591,1.28493,0.005182,0.005182,0.005182
148,5524.92,1.08924,0.70342,1.19381,0.92135,0.88222,0.92752,0.60745,1.17344,0.62534,1.28618,0.005149,0.005149,0.005149
149,5559.98,1.10564,0.70579,1.20739,0.91713,0.88108,0.92926,0.60829,1.16748,0.62228,1.27967,0.005116,0.005116,0.005116
150,5595.09,1.10697,0.69956,1.20258,0.92386,0.88722,0.93066,0.61213,1.16497,0.62346,1.27464,0.005083,0.005083,0.005083
151,5630.14,1.11248,0.70288,1.20285,0.9304,0.87771,0.92923,0.61104,1.16596,0.62544,1.27739,0.00505,0.00505,0.00505
152,5665.07,1.09421,0.69391,1.19179,0.92882,0.88238,0.93216,0.61245,1.16118,0.62172,1.27046,0.005017,0.005017,0.005017
153,5701.03,1.09333,0.69126,1.19415,0.91963,0.88903,0.93163,0.61494,1.15693,0.61801,1.26808,0.004984,0.004984,0.004984
154,5738.18,1.09196,0.70018,1.19404,0.9332,0.88927,0.93348,0.61327,1.15276,0.61696,1.26354,0.004951,0.004951,0.004951
155,5775.38,1.08251,0.68548,1.18796,0.93581,0.88287,0.93361,0.61359,1.15736,0.61371,1.27011,0.004918,0.004918,0.004918
156,5812.77,1.08922,0.69132,1.19003,0.93376,0.87338,0.93181,0.61494,1.15999,0.61266,1.27326,0.004885,0.004885,0.004885
157,5849.98,1.09252,0.6886,1.18997,0.92325,0.89253,0.93468,0.61317,1.16387,0.61859,1.27359,0.004852,0.004852,0.004852
158,5887.18,1.08097,0.69804,1.1856,0.91862,0.891,0.92925,0.61061,1.16679,0.62115,1.27601,0.004819,0.004819,0.004819
159,5924.45,1.07289,0.67203,1.1808,0.9335,0.88809,0.93396,0.61341,1.16318,0.61692,1.27348,0.004786,0.004786,0.004786
160,5961.64,1.08578,0.67804,1.18504,0.93071,0.88611,0.93286,0.61551,1.15864,0.61231,1.26828,0.004753,0.004753,0.004753
